,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,language,latitude,longitude,onmousedown,snippet,source,sponsored,state,stations,url
0,Boston,Department of Homeland Security,US,"Mon, 05 Feb 2018 09:55:57 GMT",False,"Boston, MA","Boston, MA",14 days ago,False,00d6b4e31a341da7,General Attorney,en,42.35843,-71.05977,"indeed_clk(this,'2634');",There is no formal rating system for applying veteran's preference to <b>attorney</b> appointments in the excepted service;...,usajobs.gov,False,MA,,http://www.indeed.com/viewjob?jk=00d6b4e31a341da7&qd=MbtasYePkTf44GKp5PJpiI7Flh0C77I-n9-H1dUhXNC1kgvAfGXC8TNF8uMhR66COfSFnPoWEpeMwvBRhzSrfdaNnDfCrzvUiHUl35xmNcw&indpubnum=2570086576337104&atk=1c6olduaba48g9hr
1,Boston,Pearl Cohen,US,"Wed, 14 Feb 2018 03:38:53 GMT",False,"Boston, MA","Boston, MA 02109",6 days ago,False,15a40d70d504b128,Corporate Junior Associate Attorney,en,42.36796,-71.05478,"indeed_clk(this,'2634');","If you meet the required criteria, please send us your resume and cover letter. Pearl Cohen Zedek Latzer Baratz LLP is offering an exciting opportunity in our...",Pearl Cohen,False,MA,,http://www.indeed.com/viewjob?jk=15a40d70d504b128&qd=MbtasYePkTf44GKp5PJpiI7Flh0C77I-n9-H1dUhXNC1kgvAfGXC8TNF8uMhR66COfSFnPoWEpeMwvBRhzSrfdaNnDfCrzvUiHUl35xmNcw&indpubnum=2570086576337104&atk=1c6olduaba48g9hr
2,Boston,Northeastern University,US,"Wed, 24 Jan 2018 03:28:47 GMT",False,"Boston, MA","Boston, MA",27 days ago,False,91a6b03bf13bb3ea,Assistant General Counsel,en,42.35843,-71.05977,"indeed_clk(this,'2634');",The successful candidate is expected to use independent judgment where appropriate while keeping senior <b>attorneys</b> appropriately informed and involved....,Northeastern University,False,MA,,http://www.indeed.com/viewjob?jk=91a6b03bf13bb3ea&qd=MbtasYePkTf44GKp5PJpiI7Flh0C77I-n9-H1dUhXNC1kgvAfGXC8TNF8uMhR66COfSFnPoWEpeMwvBRhzSrfdaNnDfCrzvUiHUl35xmNcw&indpubnum=2570086576337104&atk=1c6olduaba48g9hr
3,Boston,Commonwealth of Massachusetts,US,"Fri, 02 Feb 2018 18:22:05 GMT",False,"Boston, MA","Boston, MA",17 days ago,True,489b0a601d8f69bd,General Counsel/Legal Division Chief,en,42.35843,-71.05977,"indeed_clk(this,'2634');",Represents the Commission in court as a Special Assistant <b>Attorney</b> General. Supervises and reviews the work of five Legal Division <b>attorneys</b> and one...,Commonwealth of Massachusetts,False,MA,,http://www.indeed.com/viewjob?jk=489b0a601d8f69bd&qd=MbtasYePkTf44GKp5PJpiI7Flh0C77I-n9-H1dUhXNC1kgvAfGXC8TNF8uMhR66COfSFnPoWEpeMwvBRhzSrfdaNnDfCrzvUiHUl35xmNcw&indpubnum=2570086576337104&atk=1c6olduaba48g9hr
4,Boston,Boston University,US,"Mon, 19 Feb 2018 06:33:20 GMT",False,"Boston, MA","Boston, MA",21 hours ago,False,1c1e3d3032069796,"ASSOCIATE GENERAL COUNSEL, Office of the General Counsel",en,42.35843,-71.05977,"indeed_clk(this,'2634');","The University seeks a creative, collaborative <b>attorney</b> to support the University’s missions of teaching and research....",Boston University,False,MA,,http://www.indeed.com/viewjob?jk=1c1e3d3032069796&qd=MbtasYePkTf44GKp5PJpiI7Flh0C77I-n9-H1dUhXNC1kgvAfGXC8TNF8uMhR66COfSFnPoWEpeMwvBRhzSrfdaNnDfCrzvUiHUl35xmNcw&indpubnum=2570086576337104&atk=1c6olduaba48g9hr
5,Boston,Commonwealth of Massachusetts,US,"Tue, 02 Jan 2018 18:29:54 GMT",False,"Boston, MA","Boston, MA",30+ days ago,False,07a3bb1e283725b5,Deputy General Counsel,en,42.35843,-71.05977,"indeed_clk(this,'2634');",This <b>attorney</b> will be responsible for drafting and reviewing regulations; Serving as liaison with federal agencies and the Office of the <b>Attorney</b> General as...,Commonwealth of Massachusetts,False,MA,,http://www.indeed.com/viewjob?jk=07a3bb1e283725b5&qd=MbtasYePkTf44GKp5PJpiI7Flh0C77I-n9-H1dUhXNC1kgvAfGXC8TNF8uMhR66COfSFnPoWEpeMwvBRhzSrfdaNnDfCrzvUiHUl35xmNcw&indpubnum=2570086576337104&atk=1c6olduaba48g9hr
6,Boston,"Gordon Rees Scully Mansukhani, LLP",US,"Fri, 26 Jan 2018 23:51:39 GMT",False,"Boston, MA","Boston, MA",24 days ago,True,f072bacaa9bca507,Litigation Attorney,en,42.357143,-71.05495,"indeed_clk(this,'2634');","Gordon Rees Scully Mansukhani, LLP, a national law firm, is seeking an experienced litigation <b>attorney</b> for its Boston, MA office....",Indeed,False,MA,,http://www.indeed.com/viewjob?jk=f072bacaa9bca507&qd=MbtasYePkTf44GKp5PJpiI7Flh0C77I-n9-H1dUhXNC1kgvAfGXC8TNF8uMhR66COfSFnPoWEpeMwvBRhzSrfdaNnDfCrzvUiHUl35xmNcw&indpubnum=2570086576337104&atk=1c6olduaba48g9hr
7,Boston,Greenberg Traurig,US,"Wed, 10 Jan 2018 08:58:32 GMT",False,"Boston, MA","Boston, MA",30+ days ago,False,4ddeb77c27540912,Associate,en,42.35843,-71.05977,"indeed_clk(this,'2634');","It has been, and continues to be our goal, to foster a well-balanced workforce that contains a significant presence of minorities and women....",Greenberg Traurig,False,MA,,http://www.indeed.com/viewjob?jk=4ddeb77c27540912&qd=MbtasYePkTf44GKp5PJpiI7Flh0C77I-n9-H1dUhXNC1kgvAfGXC8TNF8uMhR66COfSFnPoWEpeMwvBRhzSrfdaNnDfCrzvUiHUl35xmNcw&indpubnum=2570086576337104&atk=1c6olduaba48g9hr
8,Boston,Eaton Vance,US,"Sat, 10 Feb 2018 00:59:25 GMT",False,"Boston, MA","Boston, MA",10 days ago,False,9c562c6035c4766e,Attorney,en,42.35843,-71.05977,"indeed_clk(this,'2634');","Review contracts, policies and procedures, and other documents for validity, content, accuracy and compliance....",Eaton Vance,False,MA,,http://www.indeed.com/viewjob?jk=9c562c6035c4766e&qd=MbtasYePkTf44GKp5PJpiI7Flh0C77I-n9-H1dUhXNC1kgvAfGXC8TNF8uMhR66COfSFnPoWEpeMwvBRhzSrfdaNnDfCrzvUiHUl35xmNcw&indpubnum=2570086576337104&atk=1c6olduaba48g9hr
9,Boston,Morgan & Morgan,US,"Thu, 07 Dec 2017 03:08:40 GMT",False,"Boston, MA","Boston, MA",30+ days ago,True,cfe48ee5a4b422e1,Junior Plaintiff's Attorney,en,42.35843,-71.05977,"indeed_clk(this,'2634');","Is seeking a highly motivated entry-level <b>attorney</b> to work with our operations team. Morgan &amp; Morgan, P.A....",Morgan & Morgan,False,MA,,http://www.indeed.com/viewjob?jk=cfe48ee5a4b422e1&qd=MbtasYePkTf44GKp5PJpiI7Flh0C77I-n9-H1dUhXNC1kgvAfGXC8TNF8uMhR66COfSFnPoWEpeMwvBRhzSrfdaNnDfCrzvUiHUl35xmNcw&indpubnum=2570086576337104&atk=1c6olduaba48g9hr
