,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,language,latitude,longitude,onmousedown,snippet,source,sponsored,state,stations,url
0,Boston,The Boston Beer Company,US,"Fri, 16 Feb 2018 18:12:41 GMT",False,"Boston, MA","Boston, MA",3 days ago,False,e97e9f34962bcd62,Business Analyst - Data and Reporting,en,42.35843,-71.05977,"indeed_clk(this,'4216');",Syndicated <b>Data</b> Responsibilities. 2+ year of <b>analyst</b> experience. The Business <b>Analyst</b> focuses on maximizing the efficiency of reporting related to depletions...,The Boston Beer Company,False,MA,,http://www.indeed.com/viewjob?jk=e97e9f34962bcd62&qd=MbtasYePkTf44GKp5PJpiIusy6L6vSu-igQDcJqP4Mv103YCAL5hM0N_b-Fd5omCOS8HWp6SRYZhA6kR-tEn9vOKF2-EEXTfFT91MbkDJPmDBfhE8IgzO_q_LQgY-_NZ&indpubnum=2570086576337104&atk=1c6oli8ip1bu71rp
1,Boston,Massachusetts General Hospital(MGH),US,"Tue, 06 Feb 2018 16:17:41 GMT",False,"Boston, MA","Boston, MA",13 days ago,False,d565aa10a575e0d2,Data Analyst I,en,42.35843,-71.05977,"indeed_clk(this,'4216');","Ying Zhang (Director of <b>Data</b> Analysis and <b>Data</b> Assets) on various <b>data</b>-focused tasks including, but not limited to, <b>data</b> cleaning, <b>data</b> harmonization, <b>data</b>...",Partners HealthCare,False,MA,,http://www.indeed.com/viewjob?jk=d565aa10a575e0d2&qd=MbtasYePkTf44GKp5PJpiIusy6L6vSu-igQDcJqP4Mv103YCAL5hM0N_b-Fd5omCOS8HWp6SRYZhA6kR-tEn9vOKF2-EEXTfFT91MbkDJPmDBfhE8IgzO_q_LQgY-_NZ&indpubnum=2570086576337104&atk=1c6oli8ip1bu71rp
2,Boston,Community Resources for Justice,US,"Thu, 30 Nov 2017 10:25:09 GMT",False,"Boston, MA","Boston, MA",30+ days ago,False,77a559840632e4cf,Associate Data Analyst,en,42.357143,-71.05495,"indeed_clk(this,'4216');",The Crime and Justice Institute (CJI) at Community Resources for Justice (CRJ) is seeking a high-performing individual with strong <b>data</b> analysis skills to join...,Community Resources for Justice,False,MA,,http://www.indeed.com/viewjob?jk=77a559840632e4cf&qd=MbtasYePkTf44GKp5PJpiIusy6L6vSu-igQDcJqP4Mv103YCAL5hM0N_b-Fd5omCOS8HWp6SRYZhA6kR-tEn9vOKF2-EEXTfFT91MbkDJPmDBfhE8IgzO_q_LQgY-_NZ&indpubnum=2570086576337104&atk=1c6oli8ip1bu71rp
3,Cambridge,Amazon.com,US,"Thu, 01 Feb 2018 01:18:42 GMT",False,"Cambridge, MA","Cambridge, MA",19 days ago,False,d6b9c26dc47ba8d7,"Amazon - Business Intelligence Engineer - Cambridge, MA",en,42.373627,-71.10439,"indeed_clk(this,'4216');",Ensure <b>data</b> accuracy by validating <b>data</b> for new and existing tools. As a key member of the team they will play an integral part in the program by successfully...,Amazon.com,False,MA,,http://www.indeed.com/viewjob?jk=d6b9c26dc47ba8d7&qd=MbtasYePkTf44GKp5PJpiIusy6L6vSu-igQDcJqP4Mv103YCAL5hM0N_b-Fd5omCOS8HWp6SRYZhA6kR-tEn9vOKF2-EEXTfFT91MbkDJPmDBfhE8IgzO_q_LQgY-_NZ&indpubnum=2570086576337104&atk=1c6oli8ip1bu71rp
4,Cambridge,Harvard University,US,"Sat, 03 Feb 2018 00:40:49 GMT",False,"Cambridge, MA","Cambridge, MA",17 days ago,False,eb3fed55650af5eb,Associate Data Analyst,en,42.373627,-71.10439,"indeed_clk(this,'4216');",Other ad-hoc requests and projects as determined by the Senior <b>Data</b> <b>Analyst</b>. Works with the <b>Data</b> <b>Analyst</b> in supporting the marketing and engagement goals of FAS...,Harvard University,False,MA,,http://www.indeed.com/viewjob?jk=eb3fed55650af5eb&qd=MbtasYePkTf44GKp5PJpiIusy6L6vSu-igQDcJqP4Mv103YCAL5hM0N_b-Fd5omCOS8HWp6SRYZhA6kR-tEn9vOKF2-EEXTfFT91MbkDJPmDBfhE8IgzO_q_LQgY-_NZ&indpubnum=2570086576337104&atk=1c6oli8ip1bu71rp
5,Boston,iboss,US,"Mon, 12 Feb 2018 04:13:33 GMT",False,"Boston, MA","Boston, MA",7 days ago,True,40bcb6a48c1d4ca9,Junior Business Intelligence Analyst,en,42.35843,-71.05977,"indeed_clk(this,'4216');","Junior Business Intelligence <b>Analyst</b>. Knowledge of Tableau, with experience in dashboard designs and <b>data</b> visualization....",iboss,False,MA,,http://www.indeed.com/viewjob?jk=40bcb6a48c1d4ca9&qd=MbtasYePkTf44GKp5PJpiIusy6L6vSu-igQDcJqP4Mv103YCAL5hM0N_b-Fd5omCOS8HWp6SRYZhA6kR-tEn9vOKF2-EEXTfFT91MbkDJPmDBfhE8IgzO_q_LQgY-_NZ&indpubnum=2570086576337104&atk=1c6oli8ip1bu71rp
6,Boston,Cognizant,US,"Wed, 14 Feb 2018 17:16:19 GMT",False,"Boston, MA","Boston, MA",5 days ago,False,a867776f3d9be868,Data Analyst,en,42.357143,-71.05495,"indeed_clk(this,'4216');",Working knowledge of <b>data</b> analysis tools &amp; Top notch analytical skills. Total experience of 5 to 8 years. Act as a liaison between IT teams and business teams....,Cognizant,False,MA,,http://www.indeed.com/viewjob?jk=a867776f3d9be868&qd=MbtasYePkTf44GKp5PJpiIusy6L6vSu-igQDcJqP4Mv103YCAL5hM0N_b-Fd5omCOS8HWp6SRYZhA6kR-tEn9vOKF2-EEXTfFT91MbkDJPmDBfhE8IgzO_q_LQgY-_NZ&indpubnum=2570086576337104&atk=1c6oli8ip1bu71rp
7,Charlestown,Massachusetts General Hospital(MGH),US,"Sat, 02 Dec 2017 10:27:15 GMT",False,"Charlestown, MA","Charlestown, MA",30+ days ago,False,8cd27e3e6c7439ca,Data Analyst I,en,42.37787,-71.062,"indeed_clk(this,'4216');","Research and <b>Data</b> <b>Analyst</b>. The Scientific and <b>Data</b> <b>Analyst</b> responsibilities will include, but are not limited to:....",Partners HealthCare,False,MA,,http://www.indeed.com/viewjob?jk=8cd27e3e6c7439ca&qd=MbtasYePkTf44GKp5PJpiIusy6L6vSu-igQDcJqP4Mv103YCAL5hM0N_b-Fd5omCOS8HWp6SRYZhA6kR-tEn9vOKF2-EEXTfFT91MbkDJPmDBfhE8IgzO_q_LQgY-_NZ&indpubnum=2570086576337104&atk=1c6oli8ip1bu71rp
8,Boston,Tolemi,US,"Mon, 22 Jan 2018 19:13:24 GMT",False,"Boston, MA","Boston, MA 02109",28 days ago,True,a66c634fbed4a24e,Data Analyst,en,42.36796,-71.05478,"indeed_clk(this,'4216');",The Tolemi team is looking for <b>Data</b> <b>Analysts</b> to help our local government customers unlock the power of their <b>data</b>....,Indeed,False,MA,,http://www.indeed.com/viewjob?jk=a66c634fbed4a24e&qd=MbtasYePkTf44GKp5PJpiIusy6L6vSu-igQDcJqP4Mv103YCAL5hM0N_b-Fd5omCOS8HWp6SRYZhA6kR-tEn9vOKF2-EEXTfFT91MbkDJPmDBfhE8IgzO_q_LQgY-_NZ&indpubnum=2570086576337104&atk=1c6oli8ip1bu71rp
9,Boston,Jana,US,"Fri, 27 Oct 2017 08:28:50 GMT",False,"Boston, MA","Boston, MA",30+ days ago,True,dbafee6e94e1c775,Data Analyst,en,42.35843,-71.05977,"indeed_clk(this,'4216');","As a <b>Data</b> <b>Analyst</b> at Jana, you will work closely with our product and engineering teams to shape product decisions using <b>data</b>....",Jana,False,MA,,http://www.indeed.com/viewjob?jk=dbafee6e94e1c775&qd=MbtasYePkTf44GKp5PJpiIusy6L6vSu-igQDcJqP4Mv103YCAL5hM0N_b-Fd5omCOS8HWp6SRYZhA6kR-tEn9vOKF2-EEXTfFT91MbkDJPmDBfhE8IgzO_q_LQgY-_NZ&indpubnum=2570086576337104&atk=1c6oli8ip1bu71rp
