,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,language,latitude,longitude,onmousedown,snippet,source,sponsored,state,stations,url
0,Boston,Commonwealth of Massachusetts,US,"Tue, 31 Oct 2017 16:09:33 GMT",False,"Boston, MA","Boston, MA",30+ days ago,False,f882c1be72f9d17f,Paralegal,en,42.35843,-71.05977,"indeed_clk(this,'5181');","Associates Degree, <b>Paralegal</b> Certificate or equivalent experience. The Massachusetts Gaming Commission is seeking to hire a <b>paralegal</b>....",Commonwealth of Massachusetts,False,MA,,http://www.indeed.com/viewjob?jk=f882c1be72f9d17f&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNmYEZGLVbQj5B_v10fpcu8I-zIMjh129zh1PyVg4pOjbdnMN0Yd5M4-H3qmZtBzM34&indpubnum=2570086576337104&atk=1c6ol7jnf410j8ev
1,Boston,United States District Court,US,"Thu, 08 Feb 2018 02:14:40 GMT",False,"Boston, MA","Boston, MA",12 days ago,False,8556963874dc7c6b,Judicial Assistant (Part-time),en,42.35843,-71.05977,"indeed_clk(this,'5181');",The incumbent will provide support to the judicial officer on a 50% schedule of 20 hours per week. Education in a legal or <b>paralegal</b> curriculum may be...,United States District Court,False,MA,,http://www.indeed.com/viewjob?jk=8556963874dc7c6b&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNmYEZGLVbQj5B_v10fpcu8I-zIMjh129zh1PyVg4pOjbdnMN0Yd5M4-H3qmZtBzM34&indpubnum=2570086576337104&atk=1c6ol7jnf410j8ev
2,Boston,U.S. Court of Appeals for the First Circuit,US,"Wed, 07 Feb 2018 17:30:22 GMT",False,"Boston, MA","Boston, MA",12 days ago,True,0ba51256661fb11e,Judicial Assistant (Part-time),en,42.357143,-71.05495,"indeed_clk(this,'5181');",The incumbent will provide support to the judicial officer on a 50% schedule of 20 hours per week. Education in a legal or <b>paralegal</b> curriculum may be...,Indeed,False,MA,,http://www.indeed.com/viewjob?jk=0ba51256661fb11e&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNmYEZGLVbQj5B_v10fpcu8I-zIMjh129zh1PyVg4pOjbdnMN0Yd5M4-H3qmZtBzM34&indpubnum=2570086576337104&atk=1c6ol7jnf410j8ev
3,Boston,"Choate, Hall & Stewart LLP",US,"Wed, 31 Jan 2018 01:41:49 GMT",False,"Boston, MA","Boston, MA 02110",20 days ago,False,a990ea4bb8e797fa,Corporate Paralegal,en,42.3564,-71.0535,"indeed_clk(this,'5181');",The corporate <b>paralegal</b> should. Bachelor's degree and/or a <b>Paralegal</b> Certificate. The corporate <b>paralegal</b> will be responsible for assisting our lawyers....,"Choate, Hall & Stewart LLP",False,MA,,http://www.indeed.com/viewjob?jk=a990ea4bb8e797fa&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNmYEZGLVbQj5B_v10fpcu8I-zIMjh129zh1PyVg4pOjbdnMN0Yd5M4-H3qmZtBzM34&indpubnum=2570086576337104&atk=1c6ol7jnf410j8ev
4,Boston,SKOJ Law,US,"Thu, 01 Feb 2018 13:40:29 GMT",False,"Boston, MA","Boston, MA 02111",18 days ago,True,8bee89ea959841f7,Junior Paralegal,en,42.3489,-71.06044,"indeed_clk(this,'5181');",Utilize existing files and a variety of other research resources to develop information for pending cases. The required hours are 8:30 to 5:00 pm Monday through...,Indeed,False,MA,,http://www.indeed.com/viewjob?jk=8bee89ea959841f7&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNmYEZGLVbQj5B_v10fpcu8I-zIMjh129zh1PyVg4pOjbdnMN0Yd5M4-H3qmZtBzM34&indpubnum=2570086576337104&atk=1c6ol7jnf410j8ev
5,Boston,Ropes & Gray,US,"Thu, 21 Dec 2017 00:32:42 GMT",False,"Boston, MA","Boston, MA 02110",30+ days ago,False,01305fe2b4d25c7a,Corporate Paralegal (Entry Level) - Winter 2018,en,42.3559,-71.0528,"indeed_clk(this,'5181');","These colleagues work together across a global office network that includes offices in Boston, Chicago, Hong Kong, London, New York, San Francisco, Seoul,...",Ropes & Gray,False,MA,,http://www.indeed.com/viewjob?jk=01305fe2b4d25c7a&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNmYEZGLVbQj5B_v10fpcu8I-zIMjh129zh1PyVg4pOjbdnMN0Yd5M4-H3qmZtBzM34&indpubnum=2570086576337104&atk=1c6ol7jnf410j8ev
6,Boston,Commonwealth of Massachusetts,US,"Tue, 31 Oct 2017 16:09:35 GMT",False,"Boston, MA","Boston, MA",30+ days ago,False,67472020321acdc9,Fair Hearing Paralegal Specialist,en,42.35843,-71.05977,"indeed_clk(this,'5181');","As requested, research and analyze law sources such as statutes, recorded. Acts as a <b>paralegal</b> for the the Department of Children and Families....",Commonwealth of Massachusetts,False,MA,,http://www.indeed.com/viewjob?jk=67472020321acdc9&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNmYEZGLVbQj5B_v10fpcu8I-zIMjh129zh1PyVg4pOjbdnMN0Yd5M4-H3qmZtBzM34&indpubnum=2570086576337104&atk=1c6ol7jnf410j8ev
7,Boston,Day Pitney LLP,US,"Wed, 31 Jan 2018 16:18:59 GMT",False,"Boston, MA","Boston, MA 02110",19 days ago,True,14983d20d938e88c,Project Assistant,en,42.356,-71.0529,"indeed_clk(this,'5181');",College education or <b>paralegal</b> certificate preferred. The Project Assistant provides administrative support to assigned firm personnel performing primarily non...,Indeed,False,MA,,http://www.indeed.com/viewjob?jk=14983d20d938e88c&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNmYEZGLVbQj5B_v10fpcu8I-zIMjh129zh1PyVg4pOjbdnMN0Yd5M4-H3qmZtBzM34&indpubnum=2570086576337104&atk=1c6ol7jnf410j8ev
8,Boston,Commonwealth of Massachusetts,US,"Tue, 21 Nov 2017 21:26:58 GMT",False,"Boston, MA","Boston, MA",30+ days ago,False,072687b98c99d905,Public Records Paralegal,en,42.35843,-71.05977,"indeed_clk(this,'5181');","This position requires the ability to manage the intake, triage, processing and timely closure of a public records request and other compulsory process,...",Commonwealth of Massachusetts,False,MA,,http://www.indeed.com/viewjob?jk=072687b98c99d905&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNmYEZGLVbQj5B_v10fpcu8I-zIMjh129zh1PyVg4pOjbdnMN0Yd5M4-H3qmZtBzM34&indpubnum=2570086576337104&atk=1c6ol7jnf410j8ev
9,Boston,LPL Financial,US,"Mon, 05 Feb 2018 22:08:42 GMT",False,"Boston, MA","Boston, MA",14 days ago,True,0ab9c37fc77615cf,Legal Support Associate,en,42.357143,-71.05495,"indeed_clk(this,'5181');","Assist attorneys with all aspects of customer complaints including setting up files, research and document/information collection;...",Indeed,False,MA,,http://www.indeed.com/viewjob?jk=0ab9c37fc77615cf&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNmYEZGLVbQj5B_v10fpcu8I-zIMjh129zh1PyVg4pOjbdnMN0Yd5M4-H3qmZtBzM34&indpubnum=2570086576337104&atk=1c6ol7jnf410j8ev
