,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,language,latitude,longitude,onmousedown,snippet,source,sponsored,state,stations,url
0,Austin,United States District Court,US,"Fri, 09 Feb 2018 02:15:12 GMT",False,"Austin, TX","Austin, TX",11 days ago,False,3f220398839abd79,"Paralegal or Assistant Paralegal 18-09 Austin, Texas",en,30.266483,-97.74176,"indeed_clk(this,'386');","Announcement Number: 18-09 Court: Federal Public Defender, Western District of Texas City, State: Austin, TX Court Website: http://txw.fd.org/Austin...",United States District Court,False,TX,,http://www.indeed.com/viewjob?jk=3f220398839abd79&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNlmeDGZ9nCp76jGt6MFcgCN0WqhOlUdm8pAOD6OBMZTAdqd7359nobMnHMjczatOaTqAhSzImzghGm1GoZ7nsAp&indpubnum=2570086576337104&atk=1c6olorm218244dp
1,Austin,Dept of Family & Protectve Svc,US,"Fri, 26 Jan 2018 19:40:31 GMT",False,"Austin, TX","Austin, TX",24 days ago,False,caa2c087e3877b7f,Contract Administration Mgr I,en,30.266483,-97.74176,"indeed_clk(this,'386');",This position is classified as a fulltime position (40 hours a week). Prefer two years contract-related legal or <b>paralegal</b> training....,Texas Health and Human Services Commission,False,TX,,http://www.indeed.com/viewjob?jk=caa2c087e3877b7f&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNlmeDGZ9nCp76jGt6MFcgCN0WqhOlUdm8pAOD6OBMZTAdqd7359nobMnHMjczatOaTqAhSzImzghGm1GoZ7nsAp&indpubnum=2570086576337104&atk=1c6olorm218244dp
2,Austin,Facebook,US,"Mon, 08 Jan 2018 12:20:11 GMT",False,"Austin, TX","Austin, TX",30+ days ago,False,c018391d668877b1,Contract Associate,en,30.266483,-97.74176,"indeed_clk(this,'386');",JD or <b>paralegal</b> certificate. Facebook's mission is to give people the power to build community and bring the world closer together....,Facebook,False,TX,,http://www.indeed.com/viewjob?jk=c018391d668877b1&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNlmeDGZ9nCp76jGt6MFcgCN0WqhOlUdm8pAOD6OBMZTAdqd7359nobMnHMjczatOaTqAhSzImzghGm1GoZ7nsAp&indpubnum=2570086576337104&atk=1c6olorm218244dp
3,Austin,Zinda Law Group,US,"Wed, 14 Feb 2018 22:58:21 GMT",False,"Austin, TX","Austin, TX",5 days ago,True,3b6b0e73f0bf47f6,Entry Level Paralegal - Austin,en,30.266483,-97.74176,"indeed_clk(this,'386');",Entry Level <b>Paralegal</b> - Austin*. Opportunities to Advance and Grow in the Company - Desire to be a <b>Paralegal</b> is a Plus....,Indeed,False,TX,,http://www.indeed.com/viewjob?jk=3b6b0e73f0bf47f6&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNlmeDGZ9nCp76jGt6MFcgCN0WqhOlUdm8pAOD6OBMZTAdqd7359nobMnHMjczatOaTqAhSzImzghGm1GoZ7nsAp&indpubnum=2570086576337104&atk=1c6olorm218244dp
4,Austin,Mercury Insurance Group,US,"Tue, 06 Feb 2018 20:49:37 GMT",False,"Austin, TX","Austin, TX",13 days ago,True,a2d1f5c2a72bb249,Paralegal,en,30.266483,-97.74176,"indeed_clk(this,'386');","Draft responses, motions and other legal documents, conduct research projects and gather information for claim cases, and corresponds with clients to...",Indeed,False,TX,,http://www.indeed.com/viewjob?jk=a2d1f5c2a72bb249&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNlmeDGZ9nCp76jGt6MFcgCN0WqhOlUdm8pAOD6OBMZTAdqd7359nobMnHMjczatOaTqAhSzImzghGm1GoZ7nsAp&indpubnum=2570086576337104&atk=1c6olorm218244dp
5,Austin,"Advanced Micro Devices, Inc.",US,"Tue, 06 Feb 2018 22:32:51 GMT",False,"Austin, TX","Austin, TX",13 days ago,True,7e84b7257b44ccfb,Paralegal,en,30.266483,-97.74176,"indeed_clk(this,'386');","Bachelor's Degree and 5+ years <b>paralegal</b> experience. Looking for an organized, ambitious, and motivated individual with a minimum of 5 years of experience as a...","Advanced Micro Devices, Inc.",False,TX,,http://www.indeed.com/viewjob?jk=7e84b7257b44ccfb&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNlmeDGZ9nCp76jGt6MFcgCN0WqhOlUdm8pAOD6OBMZTAdqd7359nobMnHMjczatOaTqAhSzImzghGm1GoZ7nsAp&indpubnum=2570086576337104&atk=1c6olorm218244dp
6,Austin,"Integreon Managed Solutions, Inc.",US,"Tue, 06 Feb 2018 18:31:34 GMT",False,"Austin, TX","Austin, TX",13 days ago,True,2c4bfca199567f71,Paralegal,en,30.266483,-97.74176,"indeed_clk(this,'386');",An incredible opportunity to join a growing team that is providing commercial contracting services to a highly innovative Fortune 50 technology company....,"Integreon Managed Solutions, Inc.",False,TX,,http://www.indeed.com/viewjob?jk=2c4bfca199567f71&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNlmeDGZ9nCp76jGt6MFcgCN0WqhOlUdm8pAOD6OBMZTAdqd7359nobMnHMjczatOaTqAhSzImzghGm1GoZ7nsAp&indpubnum=2570086576337104&atk=1c6olorm218244dp
7,Austin,"Adams, Anestos & Measells",US,"Sat, 10 Feb 2018 03:46:41 GMT",False,"Austin, TX","Austin, TX",10 days ago,True,4b168ee9701cc11f,Office Manager/Legal Assistant/Bookkeeper,en,30.266483,-97.74176,"indeed_clk(this,'386');",Experience as a legal assistant or <b>paralegal</b> is a plus but not required. Opportunities to advance professionally with lots of advancement potential;...,Indeed,False,TX,,http://www.indeed.com/viewjob?jk=4b168ee9701cc11f&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNlmeDGZ9nCp76jGt6MFcgCN0WqhOlUdm8pAOD6OBMZTAdqd7359nobMnHMjczatOaTqAhSzImzghGm1GoZ7nsAp&indpubnum=2570086576337104&atk=1c6olorm218244dp
8,Austin,"The Tellez Law Firm, PLLC",US,"Tue, 12 Dec 2017 21:48:59 GMT",False,"Austin, TX","Austin, TX",30+ days ago,True,5fd6982fb51366d8,Legal Assistant/Paralegal,en,30.266483,-97.74176,"indeed_clk(this,'386');",Our growing law firm is currently seeking a qualified applicant to fill the position of Immigration <b>Paralegal</b>....,Indeed,False,TX,,http://www.indeed.com/viewjob?jk=5fd6982fb51366d8&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNlmeDGZ9nCp76jGt6MFcgCN0WqhOlUdm8pAOD6OBMZTAdqd7359nobMnHMjczatOaTqAhSzImzghGm1GoZ7nsAp&indpubnum=2570086576337104&atk=1c6olorm218244dp
9,Austin,Hensley Law Firm,US,"Sun, 18 Feb 2018 22:00:30 GMT",False,"Austin, TX","Austin, TX 78704",1 day ago,True,92250e3ebb2f9ef3,Litigation Paralegal,en,30.244144,-97.76286,"indeed_clk(this,'386');",MINIMUM QUALIFICATIONS <b>Paralegal</b>:. Legal assistant or legal secretary or <b>paralegal</b>. Bachelor's degree from an accredited college or <b>paralegal</b> certificate or...,Indeed,False,TX,,http://www.indeed.com/viewjob?jk=92250e3ebb2f9ef3&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNlmeDGZ9nCp76jGt6MFcgCN0WqhOlUdm8pAOD6OBMZTAdqd7359nobMnHMjczatOaTqAhSzImzghGm1GoZ7nsAp&indpubnum=2570086576337104&atk=1c6olorm218244dp
0,Austin,The Meyerson Law Firm,US,"Sun, 04 Feb 2018 20:41:06 GMT",False,"Austin, TX","Austin, TX",15 days ago,True,e72d63a544a9690f,Litigation Paralegal,en,30.266483,-97.74176,"indeed_clk(this,'544');","We are looking for a meticulous, smart, and organized <b>paralegal</b> to assist the attorneys. Must have two years of <b>paralegal</b> experience and good reading and...",Indeed,False,TX,,http://www.indeed.com/viewjob?jk=e72d63a544a9690f&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNlmeDGZ9nCp76jGt6MFcgCN0WqhOlUdm8pAOD6OBMZTAdqd7359nobMnHMjczatOaTqAhSzImzghGm1GoZ7nsAp&indpubnum=2570086576337104&atk=1c6olorr318ke6rk
1,Austin,Employees Retirement System of Texas,US,"Fri, 02 Feb 2018 19:23:39 GMT",False,"Austin, TX","Austin, TX 78701",17 days ago,True,208f4354052719cf,Legal Assistant,en,30.26923,-97.74176,"indeed_clk(this,'544');","27D – <b>Paralegal</b> Specialist. Assists as needed to research and analyze information from legal sources such as statutes, case law, administrative records and...",Indeed,False,TX,,http://www.indeed.com/viewjob?jk=208f4354052719cf&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNlmeDGZ9nCp76jGt6MFcgCN0WqhOlUdm8pAOD6OBMZTAdqd7359nobMnHMjczatOaTqAhSzImzghGm1GoZ7nsAp&indpubnum=2570086576337104&atk=1c6olorr318ke6rk
2,Austin,"Kitchens Law Firm, PC",US,"Thu, 14 Dec 2017 01:41:48 GMT",False,"Austin, TX","Austin, TX 78746",30+ days ago,True,bb5c0d2c47e9c15d,Litigation Paralegal,en,30.29945,-97.81319,"indeed_clk(this,'544');",CLA or <b>paralegal</b> certificate. Small law firm seeks full-time <b>Paralegal</b> to work with solo Attorney and another <b>Paralegal</b> in a multi-office setting in Westlake...,Indeed,False,TX,,http://www.indeed.com/viewjob?jk=bb5c0d2c47e9c15d&qd=MbtasYePkTf44GKp5PJpiDgAzlVkWh7AAOLyO3LnMNlmeDGZ9nCp76jGt6MFcgCN0WqhOlUdm8pAOD6OBMZTAdqd7359nobMnHMjczatOaTqAhSzImzghGm1GoZ7nsAp&indpubnum=2570086576337104&atk=1c6olorr318ke6rk
